Environment Id,Observation Space,Action Space,Reward Range,tStepL,Trials,rThresh
Asterix-ram-v0,"Box(128,)",Discrete(9),"(-inf, inf)",10000,100,None
Asterix-ram-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
Asterix-ramDeterministic-v0,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
Asterix-ramDeterministic-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
Asterix-ramNoFrameskip-v0,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
Asterix-ramNoFrameskip-v4,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
Asteroids-ram-v0,"Box(128,)",Discrete(14),"(-inf, inf)",10000,100,None
Asteroids-ram-v4,"Box(128,)",Discrete(14),"(-inf, inf)",100000,100,None
Asteroids-ramDeterministic-v0,"Box(128,)",Discrete(14),"(-inf, inf)",100000,100,None
Asteroids-ramDeterministic-v4,"Box(128,)",Discrete(14),"(-inf, inf)",100000,100,None
Asteroids-ramNoFrameskip-v0,"Box(128,)",Discrete(14),"(-inf, inf)",400000,100,None
Asteroids-ramNoFrameskip-v4,"Box(128,)",Discrete(14),"(-inf, inf)",400000,100,None
Atlantis-ram-v0,"Box(128,)",Discrete(4),"(-inf, inf)",10000,100,None
Atlantis-ram-v4,"Box(128,)",Discrete(4),"(-inf, inf)",100000,100,None
Atlantis-ramDeterministic-v0,"Box(128,)",Discrete(4),"(-inf, inf)",100000,100,None
Atlantis-ramDeterministic-v4,"Box(128,)",Discrete(4),"(-inf, inf)",100000,100,None
Atlantis-ramNoFrameskip-v0,"Box(128,)",Discrete(4),"(-inf, inf)",400000,100,None
Atlantis-ramNoFrameskip-v4,"Box(128,)",Discrete(4),"(-inf, inf)",400000,100,None
BankHeist-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
BankHeist-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
BankHeist-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
BankHeist-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
BankHeist-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
BankHeist-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
BattleZone-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
BattleZone-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
BattleZone-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
BattleZone-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
BattleZone-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
BattleZone-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
BeamRider-ram-v0,"Box(128,)",Discrete(9),"(-inf, inf)",10000,100,None
BeamRider-ram-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
BeamRider-ramDeterministic-v0,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
BeamRider-ramDeterministic-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
BeamRider-ramNoFrameskip-v0,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
BeamRider-ramNoFrameskip-v4,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
Berzerk-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Berzerk-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Berzerk-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Berzerk-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Berzerk-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Berzerk-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Bowling-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
Bowling-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Bowling-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Bowling-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Bowling-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Bowling-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Boxing-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Boxing-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Boxing-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Boxing-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Boxing-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Boxing-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Breakout-ram-v0,"Box(128,)",Discrete(4),"(-inf, inf)",10000,100,None
Breakout-ram-v4,"Box(128,)",Discrete(4),"(-inf, inf)",100000,100,None
Breakout-ramDeterministic-v0,"Box(128,)",Discrete(4),"(-inf, inf)",100000,100,None
Breakout-ramDeterministic-v4,"Box(128,)",Discrete(4),"(-inf, inf)",100000,100,None
Breakout-ramNoFrameskip-v0,"Box(128,)",Discrete(4),"(-inf, inf)",400000,100,None
Breakout-ramNoFrameskip-v4,"Box(128,)",Discrete(4),"(-inf, inf)",400000,100,None
Carnival-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
Carnival-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Carnival-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Carnival-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Carnival-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Carnival-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Centipede-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Centipede-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Centipede-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Centipede-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Centipede-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Centipede-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
ChopperCommand-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
ChopperCommand-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
ChopperCommand-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
ChopperCommand-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
ChopperCommand-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
ChopperCommand-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
CrazyClimber-ram-v0,"Box(128,)",Discrete(9),"(-inf, inf)",10000,100,None
CrazyClimber-ram-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
CrazyClimber-ramDeterministic-v0,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
CrazyClimber-ramDeterministic-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
CrazyClimber-ramNoFrameskip-v0,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
CrazyClimber-ramNoFrameskip-v4,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
Defender-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Defender-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Defender-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Defender-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Defender-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Defender-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
DemonAttack-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
DemonAttack-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
DemonAttack-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
DemonAttack-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
DemonAttack-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
DemonAttack-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
DoubleDunk-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
DoubleDunk-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
DoubleDunk-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
DoubleDunk-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
DoubleDunk-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
DoubleDunk-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
ElevatorAction-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
ElevatorAction-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
ElevatorAction-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
ElevatorAction-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
ElevatorAction-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
ElevatorAction-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Enduro-ram-v0,"Box(128,)",Discrete(9),"(-inf, inf)",10000,100,None
Enduro-ram-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
Enduro-ramDeterministic-v0,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
Enduro-ramDeterministic-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
Enduro-ramNoFrameskip-v0,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
Enduro-ramNoFrameskip-v4,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
FishingDerby-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
FishingDerby-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
FishingDerby-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
FishingDerby-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
FishingDerby-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
FishingDerby-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Freeway-ram-v0,"Box(128,)",Discrete(3),"(-inf, inf)",10000,100,None
Freeway-ram-v4,"Box(128,)",Discrete(3),"(-inf, inf)",100000,100,None
Freeway-ramDeterministic-v0,"Box(128,)",Discrete(3),"(-inf, inf)",100000,100,None
Freeway-ramDeterministic-v4,"Box(128,)",Discrete(3),"(-inf, inf)",100000,100,None
Freeway-ramNoFrameskip-v0,"Box(128,)",Discrete(3),"(-inf, inf)",400000,100,None
Freeway-ramNoFrameskip-v4,"Box(128,)",Discrete(3),"(-inf, inf)",400000,100,None
Frostbite-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Frostbite-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Frostbite-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Frostbite-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Frostbite-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Frostbite-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Gopher-ram-v0,"Box(128,)",Discrete(8),"(-inf, inf)",10000,100,None
Gopher-ram-v4,"Box(128,)",Discrete(8),"(-inf, inf)",100000,100,None
Gopher-ramDeterministic-v0,"Box(128,)",Discrete(8),"(-inf, inf)",100000,100,None
Gopher-ramDeterministic-v4,"Box(128,)",Discrete(8),"(-inf, inf)",100000,100,None
Gopher-ramNoFrameskip-v0,"Box(128,)",Discrete(8),"(-inf, inf)",400000,100,None
Gopher-ramNoFrameskip-v4,"Box(128,)",Discrete(8),"(-inf, inf)",400000,100,None
Gravitar-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Gravitar-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Gravitar-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Gravitar-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Gravitar-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Gravitar-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Hero-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Hero-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Hero-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Hero-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Hero-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Hero-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
IceHockey-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
IceHockey-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
IceHockey-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
IceHockey-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
IceHockey-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
IceHockey-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Jamesbond-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Jamesbond-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Jamesbond-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Jamesbond-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Jamesbond-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Jamesbond-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
JourneyEscape-ram-v0,"Box(128,)",Discrete(16),"(-inf, inf)",10000,100,None
JourneyEscape-ram-v4,"Box(128,)",Discrete(16),"(-inf, inf)",100000,100,None
JourneyEscape-ramDeterministic-v0,"Box(128,)",Discrete(16),"(-inf, inf)",100000,100,None
JourneyEscape-ramDeterministic-v4,"Box(128,)",Discrete(16),"(-inf, inf)",100000,100,None
JourneyEscape-ramNoFrameskip-v0,"Box(128,)",Discrete(16),"(-inf, inf)",400000,100,None
JourneyEscape-ramNoFrameskip-v4,"Box(128,)",Discrete(16),"(-inf, inf)",400000,100,None
Kangaroo-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Kangaroo-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Kangaroo-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Kangaroo-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Kangaroo-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Kangaroo-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Krull-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Krull-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Krull-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Krull-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Krull-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Krull-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
KungFuMaster-ram-v0,"Box(128,)",Discrete(14),"(-inf, inf)",10000,100,None
KungFuMaster-ram-v4,"Box(128,)",Discrete(14),"(-inf, inf)",100000,100,None
KungFuMaster-ramDeterministic-v0,"Box(128,)",Discrete(14),"(-inf, inf)",100000,100,None
KungFuMaster-ramDeterministic-v4,"Box(128,)",Discrete(14),"(-inf, inf)",100000,100,None
KungFuMaster-ramNoFrameskip-v0,"Box(128,)",Discrete(14),"(-inf, inf)",400000,100,None
KungFuMaster-ramNoFrameskip-v4,"Box(128,)",Discrete(14),"(-inf, inf)",400000,100,None
MontezumaRevenge-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
MontezumaRevenge-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
MontezumaRevenge-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
MontezumaRevenge-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
MontezumaRevenge-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
MontezumaRevenge-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
MsPacman-ram-v0,"Box(128,)",Discrete(9),"(-inf, inf)",10000,100,None
MsPacman-ram-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
MsPacman-ramDeterministic-v0,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
MsPacman-ramDeterministic-v4,"Box(128,)",Discrete(9),"(-inf, inf)",100000,100,None
MsPacman-ramNoFrameskip-v0,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
MsPacman-ramNoFrameskip-v4,"Box(128,)",Discrete(9),"(-inf, inf)",400000,100,None
NameThisGame-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
NameThisGame-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
NameThisGame-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
NameThisGame-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
NameThisGame-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
NameThisGame-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Phoenix-ram-v0,"Box(128,)",Discrete(8),"(-inf, inf)",10000,100,None
Phoenix-ram-v4,"Box(128,)",Discrete(8),"(-inf, inf)",100000,100,None
Phoenix-ramDeterministic-v0,"Box(128,)",Discrete(8),"(-inf, inf)",100000,100,None
Phoenix-ramDeterministic-v4,"Box(128,)",Discrete(8),"(-inf, inf)",100000,100,None
Phoenix-ramNoFrameskip-v0,"Box(128,)",Discrete(8),"(-inf, inf)",400000,100,None
Phoenix-ramNoFrameskip-v4,"Box(128,)",Discrete(8),"(-inf, inf)",400000,100,None
Pitfall-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Pitfall-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Pitfall-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Pitfall-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Pitfall-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Pitfall-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Pong-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
Pong-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Pong-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Pong-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Pong-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Pong-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Pooyan-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
Pooyan-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Pooyan-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Pooyan-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Pooyan-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Pooyan-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
PrivateEye-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
PrivateEye-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
PrivateEye-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
PrivateEye-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
PrivateEye-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
PrivateEye-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Qbert-ram-v0,"Box(128,)",Discrete(6),"(-inf, inf)",10000,100,None
Qbert-ram-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Qbert-ramDeterministic-v0,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Qbert-ramDeterministic-v4,"Box(128,)",Discrete(6),"(-inf, inf)",100000,100,None
Qbert-ramNoFrameskip-v0,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Qbert-ramNoFrameskip-v4,"Box(128,)",Discrete(6),"(-inf, inf)",400000,100,None
Riverraid-ram-v0,"Box(128,)",Discrete(18),"(-inf, inf)",10000,100,None
Riverraid-ram-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Riverraid-ramDeterministic-v0,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Riverraid-ramDeterministic-v4,"Box(128,)",Discrete(18),"(-inf, inf)",100000,100,None
Riverraid-ramNoFrameskip-v0,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
Riverraid-ramNoFrameskip-v4,"Box(128,)",Discrete(18),"(-inf, inf)",400000,100,None
